id,label,description,url,x,y,cluster,weight<Links>,weight<Total link strength>
1,koohsari m.j.,"<table><tr><td>Authors:</td><td>koohsari m.j.; cole r.; oka k.; shibata a.; yasunaga a.; hanibuchi t.; owen n.; sugiyama t.</td></tr><tr><td>Title:</td><td>associations of built environment attributes with bicycle use for transport</td></tr><tr><td>Source:</td><td>[no source], 47(9)</td></tr></table>",https://doi.org/10.1177/2399808319845006,-0.7403,0.5043,5,69,8
2,han z. (a),"<table><tr><td>Authors:</td><td>han z.; long y.; wang x.; hou j.</td></tr><tr><td>Title:</td><td>urban redevelopment at the block level: methodology and its application to all chinese cities</td></tr><tr><td>Source:</td><td>[no source], 47(9)</td></tr></table>",https://doi.org/10.1177/2399808319843928,-0.5525,-0.0933,5,60,13
3,botta f.,"<table><tr><td>Authors:</td><td>botta f.; moat h.s.; preis t.</td></tr><tr><td>Title:</td><td>measuring the size of a crowd using instagram</td></tr><tr><td>Source:</td><td>[no source], 47(9)</td></tr></table>",https://doi.org/10.1177/2399808319841615,-0.7725,0.6923,4,22,12
4,liu y. (a),"<table><tr><td>Authors:</td><td>liu y.; cheng d.; pei t.; shu h.; ge x.; ma t.; du y.; ou y.; wang m.; xu l.</td></tr><tr><td>Title:</td><td>inferring gender and age of customers in shopping malls via indoor positioning data</td></tr><tr><td>Source:</td><td>[no source], 47(9)</td></tr></table>",https://doi.org/10.1177/2399808319841910,0.0351,0.3579,3,49,9
5,zhang x.,"<table><tr><td>Authors:</td><td>zhang x.; mu l.</td></tr><tr><td>Title:</td><td>the perceived importance and objective measurement of walkability in the built environment rating</td></tr><tr><td>Source:</td><td>[no source], 47(9)</td></tr></table>",https://doi.org/10.1177/2399808319832305,-0.4825,0.0218,8,64,15
6,cui y.,"<table><tr><td>Authors:</td><td>cui y.; moeckel r.</td></tr><tr><td>Title:</td><td>defining the resolution of a network for transportation analyses: a new methodology and algorithm</td></tr><tr><td>Source:</td><td>[no source], 47(9)</td></tr></table>",https://doi.org/10.1177/2399808319834309,-0.2684,0.7095,4,7,3
7,humphrey c.,"<table><tr><td>Authors:</td><td>humphrey c.; jensen s.t.; small d.s.; thurston r.</td></tr><tr><td>Title:</td><td>urban vibrancy and safety in philadelphia</td></tr><tr><td>Source:</td><td>[no source], 47(9)</td></tr></table>",https://doi.org/10.1177/2399808319830403,-0.5734,-0.1704,2,43,6
8,huang b. (a),"<table><tr><td>Authors:</td><td>huang b.; zhou y.; li z.; song y.; cai j.; tu w.</td></tr><tr><td>Title:</td><td>evaluating and characterizing urban vibrancy using spatial big data: shanghai as a case study</td></tr><tr><td>Source:</td><td>[no source], 47(9)</td></tr></table>",https://doi.org/10.1177/2399808319828730,-0.7985,-0.1353,4,55,20
9,cai z.,"<table><tr><td>Authors:</td><td>cai z.; wang b.; cong c.; cvetkovic v.</td></tr><tr><td>Title:</td><td>spatial dynamic modelling for urban scenario planning: a case study of nanjing, china</td></tr><tr><td>Source:</td><td>[no source], 47(8)</td></tr></table>",https://doi.org/10.1177/2399808320934818,0.129,-0.6583,6,56,18
10,pan h.,"<table><tr><td>Authors:</td><td>pan h.; chen s.; gao y.; deal b.; liu j.</td></tr><tr><td>Title:</td><td>an urban informatics approach to understanding residential mobility in metro chicago</td></tr><tr><td>Source:</td><td>[no source], 47(8)</td></tr></table>",https://doi.org/10.1177/2399808320924437,-0.2385,-0.3174,7,44,18
11,yang t.,"<table><tr><td>Authors:</td><td>yang t.</td></tr><tr><td>Title:</td><td>understanding commuting patterns and changes: counterfactual analysis in a planning support framework</td></tr><tr><td>Source:</td><td>[no source], 47(8)</td></tr></table>",https://doi.org/10.1177/2399808320924433,-0.7742,-0.2525,8,60,12
12,xu c. (a),"<table><tr><td>Authors:</td><td>xu c.; haase d.; su m.; wang y.; pauleit s.</td></tr><tr><td>Title:</td><td>assessment of landscape changes under different urban dynamics based on a multiple-scenario modeling approach</td></tr><tr><td>Source:</td><td>[no source], 47(8)</td></tr></table>",https://doi.org/10.1177/2399808320910161,0.1903,-0.7128,6,23,18
13,carlucci m.,"<table><tr><td>Authors:</td><td>carlucci m.; zambon i.; salvati l.</td></tr><tr><td>Title:</td><td>diversification in urban functions as a measure of metropolitan complexity</td></tr><tr><td>Source:</td><td>[no source], 47(7)</td></tr></table>",https://doi.org/10.1177/2399808319828374,-0.4604,-0.6659,5,62,26
14,im h.n.,"<table><tr><td>Authors:</td><td>im h.n.; choi c.g.</td></tr><tr><td>Title:</td><td>measuring pedestrian volume by land use mix: presenting a new entropy-based index by weighting walking generation units</td></tr><tr><td>Source:</td><td>[no source], 47(7)</td></tr></table>",https://doi.org/10.1177/2399808318824112,-0.9518,0.0929,8,61,13
15,hong a.,"<table><tr><td>Authors:</td><td>hong a.; kim b.; widener m.</td></tr><tr><td>Title:</td><td>noise and the city: leveraging crowdsourced big data to examine the spatio-temporal relationship between urban development and noise annoyance</td></tr><tr><td>Source:</td><td>[no source], 47(7)</td></tr></table>",https://doi.org/10.1177/2399808318821112,-0.6085,-0.8804,5,10,9
16,lagarias a.,"<table><tr><td>Authors:</td><td>lagarias a.; prastacos p.</td></tr><tr><td>Title:</td><td>comparing the urban form of south european cities using fractal dimensions</td></tr><tr><td>Source:</td><td>[no source], 47(7)</td></tr></table>",https://doi.org/10.1177/2399808318820911,-0.1553,-0.6599,5,52,13
17,xu c. (b),"<table><tr><td>Authors:</td><td>xu c.; pribadi d.o.; haase d.; pauleit s.</td></tr><tr><td>Title:</td><td>incorporating spatial autocorrelation and settlement type segregation to improve the performance of an urban growth model</td></tr><tr><td>Source:</td><td>[no source], 47(7)</td></tr></table>",https://doi.org/10.1177/2399808318821947,0.3706,-0.8044,6,150,35
18,yin l.,"<table><tr><td>Authors:</td><td>yin l.; chen j.; zhang h.; yang z.; wan q.; ning l.; hu j.; yu q.</td></tr><tr><td>Title:</td><td>improving emergency evacuation planning with mobile phone location data</td></tr><tr><td>Source:</td><td>[no source], 47(6)</td></tr></table>",https://doi.org/10.1177/2399808319874805,-0.1422,0.3549,9,123,27
19,zou z.,"<table><tr><td>Authors:</td><td>zou z.; cai t.; cao k.</td></tr><tr><td>Title:</td><td>an urban big data-based air quality index prediction: a case study of routes planning for outdoor activities in beijing</td></tr><tr><td>Source:</td><td>[no source], 47(6)</td></tr></table>",https://doi.org/10.1177/2399808319862292,-0.0613,0.5238,3,51,4
20,alaei moghadam s. (a),"<table><tr><td>Authors:</td><td>alaei moghadam s.; karimi m.; habibi k.</td></tr><tr><td>Title:</td><td>modelling urban growth incorporating spatial interactions between the cities: the example of the tehran metropolitan region</td></tr><tr><td>Source:</td><td>[no source], 47(6)</td></tr></table>",https://doi.org/10.1177/2399808318816701,0.1569,-0.6757,6,69,19
21,auerbach j.,"<table><tr><td>Authors:</td><td>auerbach j.; blackburn c.; barton h.; meng a.; zegura e.</td></tr><tr><td>Title:</td><td>coupling data science with community crowdsourcing for urban renewal policy analysis: an evaluation of atlanta’s anti-displacement tax fund</td></tr><tr><td>Source:</td><td>[no source], 47(6)</td></tr></table>",https://doi.org/10.1177/2399808318819847,-0.6419,-0.1543,7,31,8
22,sasabe m.,"<table><tr><td>Authors:</td><td>sasabe m.; fujii k.; kasahara s.</td></tr><tr><td>Title:</td><td>road network risk analysis considering people flow under ordinary and evacuation situations</td></tr><tr><td>Source:</td><td>[no source], 47(5)</td></tr></table>",https://doi.org/10.1177/2399808318802940,-0.3309,0.2492,5,83,14
23,hamilton r.,"<table><tr><td>Authors:</td><td>hamilton r.; rae a.</td></tr><tr><td>Title:</td><td>regions from the ground up: a network partitioning approach to regional delineation</td></tr><tr><td>Source:</td><td>[no source], 47(5)</td></tr></table>",https://doi.org/10.1177/2399808318804226,-0.718,-0.0861,5,22,12
24,coffee n.t.,"<table><tr><td>Authors:</td><td>coffee n.t.; lockwood t.; rossini p.; niyonsenga t.; mcgreal s.</td></tr><tr><td>Title:</td><td>composition and context drivers of residential property location value as a socioeconomic status measure</td></tr><tr><td>Source:</td><td>[no source], 47(5)</td></tr></table>",https://doi.org/10.1177/2399808318805489,-0.096,-0.3938,5,97,8
25,jin c. (a),"<table><tr><td>Authors:</td><td>jin c.; xu j.</td></tr><tr><td>Title:</td><td>using user-generated content data to analyze tourist mobility between hotels and attractions in cities</td></tr><tr><td>Source:</td><td>[no source], 47(5)</td></tr></table>",https://doi.org/10.1177/2399808318811666,-0.7081,0.5368,4,83,14
27,lemoy r.,"<table><tr><td>Authors:</td><td>lemoy r.; caruso g.</td></tr><tr><td>Title:</td><td>evidence for the homothetic scaling of urban forms</td></tr><tr><td>Source:</td><td>[no source], 47(5)</td></tr></table>",https://doi.org/10.1177/2399808318810532,-0.5782,-0.454,5,39,22
28,kane k.,"<table><tr><td>Authors:</td><td>kane k.; kim y.-a.</td></tr><tr><td>Title:</td><td>parcels, points, and proximity: can exhaustive sources of big data improve measurement in cities?</td></tr><tr><td>Source:</td><td>[no source], 47(4)</td></tr></table>",https://doi.org/10.1177/2399808318797135,-0.8106,-0.0513,7,90,19
29,jiang w.,"<table><tr><td>Authors:</td><td>jiang w.; feng t.; timmermans h.j.p.</td></tr><tr><td>Title:</td><td>non-linear asymmetric gap models of residential satisfaction: formulation and empirical evidence</td></tr><tr><td>Source:</td><td>[no source], 47(4)</td></tr></table>",https://doi.org/10.1177/2399808318790251,-1.3486,-0.3882,7,3,2
